metric,value
mIoU,0.6204
pixel_acc,0.9561
mean_acc,0.7774
iou_background,0.9616
iou_skin,0.8694
iou_left_eyebrow,0.3130
iou_right_eyebrow,0.3157
iou_left_eye,0.3368
iou_right_eye,0.3376
iou_nose,0.8288
iou_upper_lip,0.6127
iou_inner_mouth,0.7395
iou_lower_lip,0.6637
iou_hair,0.8455
